Month,value
1988 Apr,5.8
1988 May,7.2
1988 Jun,7.2
1988 Jul,7.5
1988 Aug,6.8
1988 Sep,7
1988 Oct,7.4
1988 Nov,6.9
1988 Dec,9.2
1989 Jan,7.6
1989 Feb,7.7
1989 Mar,7.3
1989 Apr,7.2
1989 May,9.7
1989 Jun,7.9
1989 Jul,7.6
1989 Aug,8
1989 Sep,7.5
1989 Oct,7.6
1989 Nov,6.6
1989 Dec,8.1
1990 Jan,6.8
1990 Feb,7.9
1990 Mar,7.9
1990 Apr,7.3
1990 May,8.6
1990 Jun,7.4
1990 Jul,7.9
1990 Aug,7.5
1990 Sep,7.9
1990 Oct,7.7
1990 Nov,7.1
1990 Dec,6.9
1991 Jan,6.1
1991 Feb,5.9
1991 Mar,6.7
1991 Apr,6.9
1991 May,7.1
1991 Jun,7.1
1991 Jul,8.2
1991 Aug,7.7
1991 Sep,8.3
1991 Oct,8.3
1991 Nov,7.9
1991 Dec,8.4
1992 Jan,7.6
1992 Feb,7.4
1992 Mar,7.9
1992 Apr,7.8
1992 May,8.1
1992 Jun,9.6
1992 Jul,11
1992 Aug,11.1
1992 Sep,11.3
1992 Oct,11.5
1992 Nov,11.2
1992 Dec,11.4
1993 Jan,10.4
1993 Feb,9.5
1993 Mar,10.1
1993 Apr,10.4
1993 May,10.8
1993 Jun,10
1993 Jul,10.5
1993 Aug,11.3
1993 Sep,10.3
1993 Oct,10.6
1993 Nov,11
1993 Dec,10.9
1994 Jan,8.5
1994 Feb,9
1994 Mar,11.1
1994 Apr,11.1
1994 May,11.8
1994 Jun,11.6
1994 Jul,13.3
1994 Aug,16.8
1994 Sep,14.9
1994 Oct,14.2
1994 Nov,13.2
1994 Dec,12
1995 Jan,11.1
1995 Feb,11.1
1995 Mar,13
1995 Apr,12.2
1995 May,13.7
1995 Jun,14.4
1995 Jul,16.1
1995 Aug,16.4
1995 Sep,15.5
1995 Oct,15.4
1995 Nov,13.6
1995 Dec,13.8
1996 Jan,12.7
1996 Feb,14
1996 Mar,14.7
1996 Apr,14.3
1996 May,15.9
1996 Jun,15.9
1996 Jul,16.6
1996 Aug,15.7
1996 Sep,15.1
1996 Oct,16.2
1996 Nov,15.3
1996 Dec,14.2
1997 Jan,12.4
1997 Feb,12.7
1997 Mar,13.6
1997 Apr,13.9
1997 May,14.1
1997 Jun,14.5
1997 Jul,17.4
1997 Aug,16
1997 Sep,15.5
1997 Oct,16.3
1997 Nov,15.6
1997 Dec,16.2
1998 Jan,13.1
1998 Feb,13.6
1998 Mar,15.8
1998 Apr,15.9
1998 May,16.6
1998 Jun,17
1998 Jul,20.4
1998 Aug,22.4
1998 Sep,21.3
1998 Oct,20.7
1998 Nov,17.8
1998 Dec,18.4
1999 Jan,14.1
1999 Feb,13.2
1999 Mar,16.4
1999 Apr,16.9
1999 May,18.3
1999 Jun,18.4
1999 Jul,19.1
1999 Aug,17.7
1999 Sep,17.4
1999 Oct,17.3
1999 Nov,15.9
1999 Dec,16
2000 Jan,12.7
2000 Feb,14.6
2000 Mar,15.4
2000 Apr,15.9
2000 May,15.9
2000 Jun,16.5
2000 Jul,19.1
2000 Aug,18.8
2000 Sep,17.5
2000 Oct,16.8
2000 Nov,16.3
2000 Dec,14.8
2001 Jan,12.7
2001 Feb,12.6
2001 Mar,15.5
2001 Apr,14.7
2001 May,16.1
2001 Jun,17
2001 Jul,18.4
2001 Aug,19
2001 Sep,16.3
2001 Oct,16.9
2001 Nov,16.9
2001 Dec,15
2002 Jan,14.4
2002 Feb,13.3
2002 Mar,15.4
2002 Apr,15.5
2002 May,17.1
2002 Jun,17.5
2002 Jul,20.4
2002 Aug,20.1
2002 Sep,18.7
2002 Oct,19.2
2002 Nov,18.8
2002 Dec,18.5
2003 Jan,16.5
2003 Feb,15.1
2003 Mar,16.4
2003 Apr,17.8
2003 May,19
2003 Jun,19.8
2003 Jul,20.5
2003 Aug,20.9
2003 Sep,19
2003 Oct,19
2003 Nov,18.5
2003 Dec,18.1
2004 Jan,16.3
2004 Feb,16.2
2004 Mar,17.6
2004 Apr,18.7
2004 May,19.7
2004 Jun,21.4
2004 Jul,22.7
2004 Aug,20.8
2004 Sep,21.2
2004 Oct,20.6
2004 Nov,19.3
2004 Dec,18.2
2005 Jan,17.3
2005 Feb,17.4
2005 Mar,18.6
2005 Apr,19.5
2005 May,18.9
2005 Jun,20.4
2005 Jul,22.5
2005 Aug,22.3
2005 Sep,20.7
2005 Oct,20.8
2005 Nov,20
2005 Dec,19.6
2006 Jan,17.1
2006 Feb,15.5
2006 Mar,17.8
2006 Apr,18.4
2006 May,21.6
2006 Jun,20.4
2006 Jul,24.2
2006 Aug,24.4
2006 Sep,22.8
2006 Oct,22.2
2006 Nov,20.7
2006 Dec,20.8
2007 Jan,17.5
2007 Feb,17.3
2007 Mar,20.4
2007 Apr,17.9
2007 May,19.8
2007 Jun,22
2007 Jul,20.2
2007 Aug,20.3
2007 Sep,18.3
2007 Oct,20.3
2007 Nov,19.5
2007 Dec,20.7
2008 Jan,15.9
2008 Feb,17
2008 Mar,17.3
2008 Apr,17.3
2008 May,18.5
2008 Jun,19
2008 Jul,22
2008 Aug,22.5
2008 Sep,21.2
2008 Oct,21.9
2008 Nov,21.9
2008 Dec,27.2
2009 Jan,23.4
2009 Feb,24.1
2009 Mar,25.4
2009 Apr,26.2
2009 May,27.2
2009 Jun,26.9
2009 Jul,30.2
2009 Aug,30.4
2009 Sep,25
2009 Oct,31.1
2009 Nov,26.4
2009 Dec,29
2010 Jan,24.7
2010 Feb,27.3
2010 Mar,30.4
2010 Apr,32.3
2010 May,34.2
2010 Jun,35.8
2010 Jul,38.1
2010 Aug,40
2010 Sep,39.2
2010 Oct,34.9
2010 Nov,34.3
2010 Dec,33.8
2011 Jan,29.8
2011 Feb,36.7
2011 Mar,39.6
2011 Apr,38.3
2011 May,38
2011 Jun,41.8
2011 Jul,44.8
2011 Aug,48.2
2011 Sep,44.4
2011 Oct,46.4
2011 Nov,46.6
2011 Dec,39.5
2012 Jan,37.9
2012 Feb,38.9
2012 Mar,45.5
2012 Apr,44.8
2012 May,49.1
2012 Jun,48.3
2012 Jul,49.1
2012 Aug,49
2012 Sep,46.3
2012 Oct,42.4
2012 Nov,43.7
2012 Dec,42.3
2013 Jan,36.7
2013 Feb,35.9
2013 Mar,41.8
2013 Apr,40.6
2013 May,43.5
2013 Jun,44.6
2013 Jul,41
2013 Aug,41.7
2013 Sep,38.8
2013 Oct,38.7
2013 Nov,36.6
2013 Dec,33.1
2014 Jan,32.5
2014 Feb,30.8
2014 Mar,36.7
2014 Apr,35.6
2014 May,37.9
2014 Jun,37.8
2014 Jul,39
2014 Aug,40.9
2014 Sep,38.8
2014 Oct,36.5
2014 Nov,34.9
2014 Dec,37.8
2015 Jan,31.6
2015 Feb,32.9
2015 Mar,36.3
2015 Apr,36.5
2015 May,38.4
2015 Jun,43
2015 Jul,45.2
2015 Aug,43.2
2015 Sep,42
2015 Oct,41.1
2015 Nov,39.3
2015 Dec,38.3
2016 Jan,35
2016 Feb,34.7
2016 Mar,36.6
2016 Apr,38.7
2016 May,39.2
2016 Jun,39.7
2016 Jul,42.5
2016 Aug,45.4
2016 Sep,41.4
2016 Oct,41.5
2016 Nov,41.6
2016 Dec,41.3
2017 Jan,34.3
2017 Feb,37.1
2017 Mar,36.6
2017 Apr,37.5
2017 May,36.3
2017 Jun,39.5
2017 Jul,41.8
2017 Aug,42.4
2017 Sep,38.8
2017 Oct,42.1
2017 Nov,39.7
2017 Dec,38.1
2018 Jan,34.6
2018 Feb,36.4
2018 Mar,40.4
2018 Apr,39.1
2018 May,40.7
2018 Jun,41.5
2018 Jul,43
2018 Aug,41.8
2018 Sep,38.5
2018 Oct,39.4
2018 Nov,37.2
2018 Dec,35.2
