"series_name","start_timestamp","value","trend","detrended"
"T1299",1983 Jan,6001.5,6038.93361227116,-37.4336122711575
"T1299",1983 Feb,6016.5,6079.67900770339,-63.1790077033938
"T1299",1983 Mar,6054.5,6120.42440313563,-65.9244031356311
"T1299",1983 Apr,6110,6161.16979856787,-51.1697985678675
"T1299",1983 May,6186.5,6201.55940167787,-15.059401677865
"T1299",1983 Jun,6279.5,6241.94900478786,37.5509952121374
"T1299",1983 Jul,6239,6282.33860789786,-43.3386078978601
"T1299",1983 Aug,6344.5,6322.53360467834,21.9663953216632
"T1299",1983 Sep,6466.5,6362.72860145881,103.771398541186
"T1299",1983 Oct,6486,6402.92359823929,83.0764017607089
"T1299",1983 Nov,6502.5,6440.36822645164,62.1317735483626
"T1299",1983 Dec,6482,6477.81285466398,4.18714533601633
"T1299",1984 Jan,6455,6515.25748287633,-60.25748287633
"T1299",1984 Feb,6508.5,6542.43139661248,-33.931396612481
"T1299",1984 Mar,6568,6569.60531034863,-1.60531034863197
"T1299",1984 Apr,6606,6596.77922408478,9.22077591521702
"T1299",1984 May,6646.5,6611.29342795178,35.2065720482242
"T1299",1984 Jun,6719.5,6625.80763181877,93.6923681812323
"T1299",1984 Jul,6642.5,6640.32183568576,2.17816431423944
"T1299",1984 Aug,6726,6642.20726994283,83.7927300571719
"T1299",1984 Sep,6760,6644.0927041999,115.907295800105
"T1299",1984 Oct,6724.5,6645.97813845696,78.5218615430376
"T1299",1984 Nov,6681,6636.96964685082,44.0303531491809
"T1299",1984 Dec,6644,6627.96115524468,16.0388447553232
"T1299",1985 Jan,6572.5,6618.95266363853,-46.4526636385335
"T1299",1985 Feb,6553.5,6604.93544060568,-51.4354406056846
"T1299",1985 Mar,6561,6590.91821757283,-29.9182175728347
"T1299",1985 Apr,6540.5,6576.90099453999,-36.4009945399857
"T1299",1985 May,6547.5,6563.35804575118,-15.8580457511753
"T1299",1985 Jun,6585,6549.81509696236,35.1849030376361
"T1299",1985 Jul,6471,6536.27214817355,-65.2721481735534
"T1299",1985 Aug,6549,6524.83704041675,24.162959583251
"T1299",1985 Sep,6572.5,6513.40193265994,59.0980673400554
"T1299",1985 Oct,6545.5,6501.96682490314,43.5331750968598
"T1299",1985 Nov,6517,6492.19087073926,24.8091292607414
"T1299",1985 Dec,6488,6482.41491657538,5.58508342462392
"T1299",1986 Jan,6421,6472.6389624115,-51.6389624114945
"T1299",1986 Feb,6417.5,6464.465729272,-46.9657292719994
"T1299",1986 Mar,6418,6456.2924961325,-38.2924961325034
"T1299",1986 Apr,6425.5,6448.11926299301,-22.6192629930083
"T1299",1986 May,6432.5,6441.97941276723,-9.47941276723486
"T1299",1986 Jun,6465.5,6435.83956254146,29.6604374585386
"T1299",1986 Jul,6354,6429.69971231569,-75.699712315688
"T1299",1986 Aug,6440,6426.44097750568,13.5590224943226
"T1299",1986 Sep,6486.5,6423.18224269567,63.3177573043331
"T1299",1986 Oct,6454.5,6419.92350788566,34.5764921143436
"T1299",1986 Nov,6445,6421.588347117,23.411652883
"T1299",1986 Dec,6426,6423.25318634834,2.74681365165725
"T1299",1987 Jan,6346.5,6424.91802557969,-78.4180255796864
"T1299",1987 Feb,6368,6432.4628981394,-64.4628981394044
"T1299",1987 Mar,6386.5,6440.00777069912,-53.5077706991233
"T1299",1987 Apr,6405,6447.55264325884,-42.5526432588413
"T1299",1987 May,6430.5,6458.9699878507,-28.4699878506981
"T1299",1987 Jun,6492.5,6470.38733244255,22.112667557446
"T1299",1987 Jul,6424,6481.80467703441,-57.8046770344108
"T1299",1987 Aug,6523,6494.0630773024,28.9369226975969
"T1299",1987 Sep,6589.5,6506.3214775704,83.1785224296045
"T1299",1987 Oct,6579.5,6518.57987783839,60.9201221616122
"T1299",1987 Nov,6590.5,6529.75641308355,60.7435869164456
"T1299",1987 Dec,6578,6540.93294832872,37.0670516712798
"T1299",1988 Jan,6499,6552.10948357389,-53.1094835738868
"T1299",1988 Feb,6512,6560.73690119437,-48.7369011943701
"T1299",1988 Mar,6524.5,6569.36431881485,-44.8643188148526
"T1299",1988 Apr,6544.5,6577.99173643534,-33.491736435336
"T1299",1988 May,6570,6585.45212093029,-15.4521209302902
"T1299",1988 Jun,6641,6592.91250542524,48.0874945747564
"T1299",1988 Jul,6560,6600.3728899202,-40.3728899201978
"T1299",1988 Aug,6626,6607.0412693166,18.9587306833973
"T1299",1988 Sep,6666,6613.70964871301,52.2903512869934
"T1299",1988 Oct,6673.5,6620.37802810941,53.1219718905886
"T1299",1988 Nov,6681.5,6624.02414986551,57.4758501344859
"T1299",1988 Dec,6659,6627.67027162162,31.3297283783841
"T1299",1989 Jan,6600.5,6631.31639337772,-30.8163933777187
"T1299",1989 Feb,6598.5,6630.31367669112,-31.8136766911248
"T1299",1989 Mar,6606.5,6629.31096000453,-22.8109600045318
"T1299",1989 Apr,6611,6628.30824331794,-17.3082433179379
"T1299",1989 May,6622.5,6621.31188100928,1.1881189907217
"T1299",1989 Jun,6667,6614.31551870062,52.6844812993804
"T1299",1989 Jul,6571.5,6607.31915639196,-35.81915639196
"T1299",1989 Aug,6650.5,6597.14270297494,53.3572970250634
"T1299",1989 Sep,6657,6586.96624955791,70.0337504420877
"T1299",1989 Oct,6625.5,6576.78979614089,48.7102038591111
"T1299",1989 Nov,6603,6566.67200832809,36.3279916719075
"T1299",1989 Dec,6569,6556.5542205153,12.4457794847031
"T1299",1990 Jan,6437.5,6546.4364327025,-108.9364327025
"T1299",1990 Feb,6484,6535.03529259464,-51.0352925946381
"T1299",1990 Mar,6481,6523.63415248678,-42.6341524867767
"T1299",1990 Apr,6491.5,6512.23301237891,-20.7330123789143
"T1299",1990 May,6497,6495.62117020124,1.37882979876031
"T1299",1990 Jun,6548,6479.00932802356,68.9906719764358
"T1299",1990 Jul,6465,6462.39748584589,2.6025141541104
"T1299",1990 Aug,6524.5,6439.24015579734,85.2598442026574
"T1299",1990 Sep,6527.5,6416.0828257488,111.417174251204
"T1299",1990 Oct,6486.5,6392.92549570025,93.5745042997514
"T1299",1990 Nov,6390.5,6368.11825327356,22.381746726438
"T1299",1990 Dec,6346,6343.31101084688,2.68898915312457
"T1299",1991 Jan,6243.5,6318.50376842019,-75.0037684201889
"T1299",1991 Feb,6185,6297.9774211199,-112.977421119905
"T1299",1991 Mar,6166.5,6277.45107381962,-110.95107381962
"T1299",1991 Apr,6167.5,6256.92472651934,-89.4247265193353
"T1299",1991 May,6194.5,6242.17778005416,-47.6777800541649
"T1299",1991 Jun,6242,6227.430833589,14.5691664110045
"T1299",1991 Jul,6184.5,6212.68388712383,-28.1838871238251
"T1299",1991 Aug,6280,6203.48789788319,76.5121021168125
"T1299",1991 Sep,6290,6194.29190864255,95.7080913574491
"T1299",1991 Oct,6259,6185.09591940191,73.9040805980867
"T1299",1991 Nov,6216.5,6178.3988726438,38.101127356198
"T1299",1991 Dec,6172.5,6171.70182588569,0.798174114310314
"T1299",1992 Jan,6075.5,6165.00477912758,-89.5047791275783
"T1299",1992 Feb,6073.5,6156.9706905139,-83.4706905139028
"T1299",1992 Mar,6079.5,6148.93660190023,-69.4366019002264
"T1299",1992 Apr,6103,6140.90251328655,-37.9025132865509
"T1299",1992 May,6127,6134.28182844149,-7.28182844149251
"T1299",1992 Jun,6174,6127.66114359643,46.3388564035668
"T1299",1992 Jul,6121.5,6121.04045875137,0.459541248625101
"T1299",1992 Aug,6167,6116.6799894338,50.3200105662054
"T1299",1992 Sep,6174.5,6112.31952011621,62.1804798837857
"T1299",1992 Oct,6137,6107.95905079863,29.040949201366
"T1299",1992 Nov,6118.5,6102.76237348386,15.7376265161429
"T1299",1992 Dec,6094,6097.56569616908,-3.56569616908018
"T1299",1993 Jan,6038.5,6092.3690188543,-53.8690188543032
"T1299",1993 Feb,6043,6087.65550050197,-44.6555005019745
"T1299",1993 Mar,6046,6082.94198214964,-36.9419821496449
"T1299",1993 Apr,6044,6078.22846379732,-34.2284637973162
"T1299",1993 May,6061.5,6076.81999040367,-15.3199904036674
"T1299",1993 Jun,6098,6075.41151701002,22.5884829899805
"T1299",1993 Jul,6039.5,6074.00304361637,-34.5030436163706
"T1299",1993 Aug,6099,6073.91741740734,25.082582592665
"T1299",1993 Sep,6121,6073.8317911983,47.1682088017005
"T1299",1993 Oct,6103.5,6073.74616498926,29.7538350107361
"T1299",1993 Nov,6092.5,6073.88295338918,18.6170466108242
"T1299",1993 Dec,6071.5,6074.01974178909,-2.51974178908767
"T1299",1994 Jan,6026.5,6074.156530189,-47.6565301889996
"T1299",1994 Feb,6035,6074.83759199475,-39.8375919947521
"T1299",1994 Mar,6049.5,6075.5186538005,-26.0186538005055
